method,candidate_id,error_id,error_type,run_id,seed,model,prompt_mode,source_mutant,candidate_owl,operators,operations_json,operation_signature,operation_count,json_parse_pass,schema_pass,iri_guard_pass,literal_guard_pass,apply_pass,accepted,abstained,confidence,llm_runtime_ms,generation_error,reasoner_result,reasoner_runtime_ms,evidence_result,cq_result,triples_removed,triples_added,failed_cqs,evidence_differences,minimal_edit,equals_clean_baseline,reasoner_gate,evidence_gate,cq_gate,minimal_edit_gate,synthetic_oracle_gate,repair_success,validation_error
qwen_constrained,qwen-E1-run-001,E1,数值漂移,1,20260820,qwen3.5:9b,evidence_only,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,,,[],,0,True,True,True,True,False,False,False,,8713,"CandidateValidationError: 待删除的旧断言不存在：(rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#产品A'), rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#最高投保年龄'), rdflib.term.Literal('65', datatype=rdflib.term.URIRef('http://www.w3.org/2001/XMLSchema#string')))",NOT_RUN,0,NOT_RUN,NOT_RUN,0,0,,,False,False,False,False,False,False,False,False,"CandidateValidationError: 待删除的旧断言不存在：(rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#产品A'), rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#最高投保年龄'), rdflib.term.Literal('65', datatype=rdflib.term.URIRef('http://www.w3.org/2001/XMLSchema#string')))"
qwen_constrained,qwen-E1-run-002,E1,数值漂移,2,20260821,qwen3.5:9b,evidence_only,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-candidates\evidence_only\E1\run-002\candidate.owl,REMOVE_PROPERTY_VALUE,"[{""operator"": ""REMOVE_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""source_cq_ids"": [""CQ004""], ""rationale"": ""根据证据 EVID_014，'最高投保年龄' 属性被明确定义为 '65'。然而，在当前的本体定义中，该属性的值尚未被实例化或约束为具体数值。为了保持本体的一致性和准确性，需要移除任何可能存在的、与最新有效证据（EVID_014）冲突的旧值或缺失值的推断。同时，考虑到 '最高投保年龄' 是一个具体的业务规则属性，其值应由数据断言（DataPropertyAssertion）来定义，而不是作为类的公理或默认值存在。因此，操作是移除对该属性值的任何非证据支持的假设性定义，确保本体仅反映当前有效的业务事实。"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#最高投保年龄"", ""old_value"": {""kind"": ""literal"", ""lexical"": ""70"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]","REMOVE_PROPERTY_VALUE|file:///G:/LearnAI/ontology-1#产品A|file:///G:/LearnAI/ontology-1#最高投保年龄|[('datatype', 'http://www.w3.org/2001/XMLSchema#integer'), ('kind', 'literal'), ('lexical', '70')]|[]",1,True,True,True,True,True,True,False,0.95,8652,,CONSISTENT,581,FAIL,FAIL,1,0,CQ004 | CQ005,产品A—最高投保年龄：期望=['65']，实际=[],True,False,True,False,False,True,False,False,
qwen_constrained,qwen-E1-run-003,E1,数值漂移,3,20260822,qwen3.5:9b,evidence_only,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-candidates\evidence_only\E1\run-003\candidate.owl,REMOVE_PROPERTY_VALUE,"[{""operator"": ""REMOVE_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""source_cq_ids"": [""CQ004""], ""rationale"": ""根据证据 EVID_014，'最高投保年龄' 属性被明确定义为 '65'。在 CQ004 中，该属性的值被错误地记录为 '70'。由于存在明确的当前有效证据（authority_level: A, review_status: manual_verified）支持值为 '65'，且新证据 EVID_015 尚未生效或未被标记为覆盖旧证据，因此必须移除 CQ004 中错误的属性值关联，以维护本体的一致性。"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#最高投保年龄"", ""old_value"": {""kind"": ""literal"", ""lexical"": ""70"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]","REMOVE_PROPERTY_VALUE|file:///G:/LearnAI/ontology-1#产品A|file:///G:/LearnAI/ontology-1#最高投保年龄|[('datatype', 'http://www.w3.org/2001/XMLSchema#integer'), ('kind', 'literal'), ('lexical', '70')]|[]",1,True,True,True,True,True,True,False,0.95,8073,,CONSISTENT,569,FAIL,FAIL,1,0,CQ004 | CQ005,产品A—最高投保年龄：期望=['65']，实际=[],True,False,True,False,False,True,False,False,
qwen_constrained,qwen-E1-run-004,E1,数值漂移,4,20260823,qwen3.5:9b,evidence_only,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,,,[],,0,True,True,True,True,False,False,False,,7867,"CandidateValidationError: A Literal can only have one of lang or datatype, per http://www.w3.org/TR/rdf-concepts/#section-Graph-Literal",NOT_RUN,0,NOT_RUN,NOT_RUN,0,0,,,False,False,False,False,False,False,False,False,"CandidateValidationError: A Literal can only have one of lang or datatype, per http://www.w3.org/TR/rdf-concepts/#section-Graph-Literal"
qwen_constrained,qwen-E1-run-005,E1,数值漂移,5,20260824,qwen3.5:9b,evidence_only,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,,,[],,0,True,True,True,True,False,False,False,,6820,"CandidateValidationError: 待删除的旧断言不存在：(rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#产品A'), rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#最高投保年龄'), rdflib.term.Literal('65 周岁', datatype=rdflib.term.URIRef('http://www.w3.org/2001/XMLSchema#string')))",NOT_RUN,0,NOT_RUN,NOT_RUN,0,0,,,False,False,False,False,False,False,False,False,"CandidateValidationError: 待删除的旧断言不存在：(rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#产品A'), rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#最高投保年龄'), rdflib.term.Literal('65 周岁', datatype=rdflib.term.URIRef('http://www.w3.org/2001/XMLSchema#string')))"
qwen_constrained,qwen-E2-run-001,E2,公理缺失,1,20260820,qwen3.5:9b,evidence_only,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,,,[],,0,True,True,True,True,False,False,False,,7307,"CandidateValidationError: 待删除的旧断言不存在：(rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#产品A'), rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#等待期天数'), rdflib.term.Literal('30', datatype=rdflib.term.URIRef('http://www.w3.org/2001/XMLSchema#integer')))",NOT_RUN,0,NOT_RUN,NOT_RUN,0,0,,,False,False,False,False,False,False,False,False,"CandidateValidationError: 待删除的旧断言不存在：(rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#产品A'), rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#等待期天数'), rdflib.term.Literal('30', datatype=rdflib.term.URIRef('http://www.w3.org/2001/XMLSchema#integer')))"
qwen_constrained,qwen-E2-run-002,E2,公理缺失,2,20260821,qwen3.5:9b,evidence_only,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,,,[],,0,True,True,True,True,False,False,False,,6208,"CandidateValidationError: 待删除的旧断言不存在：(rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#产品A'), rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#等待期天数'), rdflib.term.Literal('12', datatype=rdflib.term.URIRef('http://www.w3.org/2001/XMLSchema#integer')))",NOT_RUN,0,NOT_RUN,NOT_RUN,0,0,,,False,False,False,False,False,False,False,False,"CandidateValidationError: 待删除的旧断言不存在：(rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#产品A'), rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#等待期天数'), rdflib.term.Literal('12', datatype=rdflib.term.URIRef('http://www.w3.org/2001/XMLSchema#integer')))"
qwen_constrained,qwen-E2-run-003,E2,公理缺失,3,20260822,qwen3.5:9b,evidence_only,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,,,[],,0,True,True,True,True,False,False,False,,6367,"CandidateValidationError: 待删除的旧断言不存在：(rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#产品A'), rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#等待期天数'), rdflib.term.Literal('30', datatype=rdflib.term.URIRef('http://www.w3.org/2001/XMLSchema#integer')))",NOT_RUN,0,NOT_RUN,NOT_RUN,0,0,,,False,False,False,False,False,False,False,False,"CandidateValidationError: 待删除的旧断言不存在：(rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#产品A'), rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#等待期天数'), rdflib.term.Literal('30', datatype=rdflib.term.URIRef('http://www.w3.org/2001/XMLSchema#integer')))"
qwen_constrained,qwen-E2-run-004,E2,公理缺失,4,20260823,qwen3.5:9b,evidence_only,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,,,[],,0,True,True,True,True,False,False,False,,5628,"CandidateValidationError: 待删除的类别断言不存在：(rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#产品A'), rdflib.term.URIRef('http://www.w3.org/1999/02/22-rdf-syntax-ns#type'), rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#等待期天数'))",NOT_RUN,0,NOT_RUN,NOT_RUN,0,0,,,False,False,False,False,False,False,False,False,"CandidateValidationError: 待删除的类别断言不存在：(rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#产品A'), rdflib.term.URIRef('http://www.w3.org/1999/02/22-rdf-syntax-ns#type'), rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#等待期天数'))"
qwen_constrained,qwen-E2-run-005,E2,公理缺失,5,20260824,qwen3.5:9b,evidence_only,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,,,[],,0,True,True,True,True,False,False,False,,7386,"CandidateValidationError: 待删除的旧断言不存在：(rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#产品A'), rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#等待期天数'), rdflib.term.Literal('30', datatype=rdflib.term.URIRef('http://www.w3.org/2001/XMLSchema#integer')))",NOT_RUN,0,NOT_RUN,NOT_RUN,0,0,,,False,False,False,False,False,False,False,False,"CandidateValidationError: 待删除的旧断言不存在：(rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#产品A'), rdflib.term.URIRef('file:///G:/LearnAI/ontology-1#等待期天数'), rdflib.term.Literal('30', datatype=rdflib.term.URIRef('http://www.w3.org/2001/XMLSchema#integer')))"
